...1,web_name,gameweek,event_points,next_gw_points,total_points,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,first_name,form,player_id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,correct_as_of_time
79,Fosu,1,0,0,0,75,NA,154138,-0.1,1,-0.1,1,0,3,1,0.8,Tariqe,0,79,FALSE,Knock - 75% chance of playing,2021-08-19T18:30:11Z,5.4,154138.jpg,0,Fosu-Henry,0.1,FALSE,NA,d,3,94,256,256,2157,2157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,189,477,194,456,184,482,193,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
80,Raya,1,8,2,8,NA,NA,154561,0,0,0,0,0,1,1.3,0.8,David,8,80,FALSE,NA,NA,4.5,154561.jpg,8,Raya Martin,3.8,FALSE,NA,a,3,94,93030,93030,14461,14461,1.8,1.8,90,0,0,1,0,0,0,0,0,0,4,1,30,27.8,0,0,2.8,54,7,340,32,282,31,144,7,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
81,Canós,1,11,2,11,NA,NA,174932,0,0,0,0,0,3,1.4,0.9,Sergi,11,81,FALSE,NA,NA,5.5,174932.jpg,11,Canós,2.7,FALSE,NA,a,3,94,130576,130576,18649,18649,2,2,90,1,0,1,0,0,0,0,0,0,0,3,33,60.2,14.8,35,11,6,4,81,52,31,17,18,10,2,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
82,Dasilva,1,0,0,0,0,0,183656,0,0,0,0,0,3,0,0,Pelenda Joshua,0,82,FALSE,Hip injury - Unknown return date,2021-08-09T06:00:12Z,5.5,183656.jpg,0,Dasilva,0,FALSE,NA,i,3,94,50,50,608,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,206,509,208,498,204,512,208,NA,NA,NA,NA,2,NA,2021-08-20T17:10:45Z
83,Henry,1,6,2,6,NA,NA,194010,0,0,0,0,0,2,1.2,0.7,Rico,6,83,FALSE,NA,NA,4.5,194010.jpg,6,Henry,0.9,FALSE,NA,a,3,94,17175,17175,4575,4575,1.3,1.3,90,0,0,1,0,0,0,0,0,0,0,0,22,13.2,1.3,2,1.7,138,58,184,53,156,46,196,65,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
84,Janelt,1,3,3,3,NA,NA,204580,0,0,0,0,0,3,0.9,0.4,Vitaly,3,84,FALSE,NA,NA,5,204580.jpg,3,Janelt,0.1,FALSE,NA,a,3,94,612,612,465,465,0.6,0.6,90,0,0,1,0,0,0,0,0,0,0,0,6,6.2,1.4,2,1,198,84,178,108,163,86,228,106,4,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
85,Ghoddos,1,0,0,0,NA,NA,205836,0,0,0,0,0,3,1.4,0.9,Saman,0,85,FALSE,NA,NA,5.5,205836.jpg,0,Ghoddos,0.1,FALSE,NA,a,3,94,106,106,775,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,209,513,211,502,207,516,211,NA,NA,4,NA,NA,NA,2021-08-20T17:10:45Z
86,Jensen,1,0,1,0,0,0,207283,0,0,0,0,0,3,0,0,Mathias,0,86,FALSE,Foot injury - Unknown return date,2021-08-12T07:00:05Z,5,207283.jpg,0,Jensen,0,FALSE,NA,i,3,94,41,41,847,847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,181,464,186,438,175,469,185,1,NA,1,NA,NA,NA,2021-08-20T17:10:45Z
87,Goode,1,0,0,0,NA,NA,213687,0,0,0,0,0,2,0.5,0,Charlie,0,87,FALSE,NA,NA,4,213687.jpg,0,Goode,1.3,FALSE,NA,a,3,94,5320,5320,9894,9894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,100,272,97,206,67,294,101,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
88,Forss,1,1,0,1,NA,NA,216620,0,0,0,0,0,4,1.1,0.6,Marcus,1,88,FALSE,NA,NA,5.5,216620.jpg,1,Forss,0.2,FALSE,NA,a,3,94,3368,3368,2849,2849,0.2,0.2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1.3,0,0.1,513,57,188,21,506,55,273,33,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
